#{"t_start": 1761576844.9446628, "env_id": "None"}
r,l,t
-405.0,96,108.543026
-405.0,96,108.598214
-405.0,96,108.657951
-405.0,96,108.709384
-470.0,31,108.725299
-470.0,31,108.741077
-405.0,96,108.790048
-405.0,96,108.843451
-405.0,96,108.898969
-405.0,96,108.95326
-405.0,96,109.616187
-405.0,96,109.696765
-405.0,96,109.776344
-405.0,96,109.84109
-470.0,31,109.86235
-405.0,96,109.925113
-470.0,31,109.943829
-405.0,96,110.003335
-405.0,96,110.066386
-405.0,96,110.122222
-405.0,96,110.176145
-405.0,96,110.228752
-405.0,96,110.800235
-470.0,31,110.816223
-405.0,96,110.868571
-405.0,96,110.922652
-405.0,96,110.975813
-405.0,96,111.028332
-405.0,96,111.080929
-405.0,96,111.133316
-470.0,31,111.151678
-405.0,96,111.204651
-405.0,96,111.257132
-405.0,96,111.310509
-405.0,96,111.979274
-470.0,31,112.006337
-405.0,96,112.074244
-405.0,96,112.140069
-405.0,96,112.207966
-405.0,96,112.270115
-405.0,96,112.332472
-409.0,92,112.400168
-405.0,96,112.45562
-405.0,96,112.509425
-405.0,96,112.562101
-405.0,96,113.167791
-405.0,96,113.223395
-405.0,96,113.276775
-405.0,96,113.331157
-405.0,96,113.390145
-405.0,96,113.453717
-405.0,96,113.513472
-405.0,96,113.573951
-405.0,96,113.626859
-405.0,96,113.680168
-405.0,96,113.737233
-405.0,96,114.457185
-406.0,95,114.768213
-405.0,96,114.826369
-405.0,96,114.883442
-405.0,96,114.94566
-405.0,96,115.002788
-405.0,96,115.061278
-405.0,96,115.114222
-405.0,96,115.168135
-405.0,96,115.224807
-405.0,96,115.277638
-405.0,96,115.839646
-405.0,96,115.892864
-405.0,96,115.946959
-405.0,96,116.010726
-405.0,96,116.07397
-405.0,96,116.137768
-405.0,96,116.220709
-405.0,96,116.299942
-405.0,96,116.37937
-405.0,96,116.451337
-405.0,96,117.398696
-405.0,96,117.485628
-405.0,96,117.552966
-407.0,94,117.609877
-470.0,31,117.627262
-470.0,31,117.644883
-470.0,31,117.663492
-405.0,96,117.716959
-405.0,96,117.770193
-405.0,96,117.825436
-405.0,96,117.880191
-405.0,96,117.935045
-405.0,96,117.988548
-405.0,96,118.647479
-405.0,96,118.706719
-405.0,96,118.775564
-405.0,96,118.864573
-405.0,96,118.943614
-405.0,96,119.010082
-405.0,96,119.070733
-405.0,96,119.125672
-405.0,96,119.183274
-405.0,96,119.244572
-405.0,96,119.304337
-405.0,96,119.927092
-405.0,96,119.983165
-405.0,96,120.036127
-405.0,96,120.08825
-405.0,96,120.141586
-405.0,96,120.195098
-470.0,31,120.212385
-405.0,96,120.266294
-405.0,96,120.319906
-405.0,96,120.371969
-405.0,96,120.425313
-407.0,94,121.1214
-405.0,96,121.193614
-405.0,96,121.259526
-406.0,95,121.321746
-405.0,96,121.379201
-405.0,96,121.435853
-405.0,96,121.488396
-405.0,96,121.541473
-405.0,96,121.596473
-405.0,96,121.649199
-405.0,96,121.711593
-405.0,96,122.332453
-405.0,96,122.386727
-405.0,96,122.440122
-405.0,96,122.492754
-405.0,96,122.545849
-405.0,96,122.599522
-405.0,96,122.652462
-405.0,96,122.706137
-405.0,96,122.771968
-405.0,96,122.825672
-405.0,96,123.517526
-405.0,96,123.579198
-405.0,96,123.638796
-405.0,96,123.69865
-405.0,96,123.755054
-470.0,31,123.774424
-405.0,96,123.838737
-405.0,96,123.900113
-405.0,96,123.957255
-405.0,96,124.013655
-405.0,96,124.066525
-405.0,96,124.118641
-470.0,31,124.653778
-405.0,96,124.704951
-405.0,96,124.757501
-405.0,96,124.824998
-407.0,94,124.874884
-405.0,96,124.926498
-405.0,96,124.979075
-405.0,96,125.029698
-405.0,96,125.081731
-405.0,96,125.135573
-470.0,31,125.153838
-405.0,96,125.213084
-405.0,96,126.046099
-405.0,96,126.121439
-405.0,96,126.19664
-405.0,96,126.257856
-405.0,96,126.318104
-405.0,96,126.371816
-410.0,91,126.425868
-405.0,96,126.481282
-405.0,96,126.535663
-405.0,96,126.787682
-408.0,93,127.48288
-405.0,96,127.54821
-405.0,96,127.62248
-407.0,94,127.678802
-405.0,96,127.737235
-405.0,96,127.798393
-405.0,96,127.862195
-405.0,96,127.979333
-405.0,96,128.067118
-406.0,95,128.140651
-407.0,94,128.22213
-405.0,96,129.012874
-405.0,96,129.085826
-405.0,96,129.157653
