#{"t_start": 1761578750.4681647, "env_id": "None"}
r,l,t
-405.0,96,115.628478
-470.0,31,115.663163
-405.0,96,115.742504
-470.0,31,115.768034
-405.0,96,115.843527
-405.0,96,115.918649
-470.0,31,115.9447
-470.0,31,115.967413
-405.0,96,116.04792
-405.0,96,116.13379
-405.0,96,116.225862
-405.0,96,116.310023
-405.0,96,116.395395
-405.0,96,116.48431
-470.0,31,116.513346
-470.0,31,116.54294
-470.0,31,116.57372
-405.0,96,116.657627
-470.0,31,116.685358
-405.0,96,116.795607
-405.0,96,116.881601
-470.0,31,116.907046
-405.0,96,117.017768
-405.0,96,117.113134
-405.0,96,117.239312
-405.0,96,117.322712
-405.0,96,117.409862
-405.0,96,119.885184
-405.0,96,119.971303
-405.0,96,120.053626
-405.0,96,120.137406
-405.0,96,120.218221
-405.0,96,120.299606
-405.0,96,120.380797
-405.0,96,120.508079
-405.0,96,120.590115
-405.0,96,120.679357
-470.0,31,120.70729
-405.0,96,120.799172
-405.0,96,120.878424
-470.0,31,120.906091
-405.0,96,120.990768
-405.0,96,121.067459
-405.0,96,121.148854
-405.0,96,121.223875
-405.0,96,121.309655
-405.0,96,121.39508
-470.0,31,121.419852
-405.0,96,121.507662
-470.0,31,121.534703
-405.0,96,121.616501
-405.0,96,124.071968
-405.0,96,124.149419
-470.0,31,124.173656
-405.0,96,124.251465
-470.0,31,124.277135
-405.0,96,124.359683
-470.0,31,124.384954
-405.0,96,124.51466
-470.0,31,124.541998
-405.0,96,124.630778
-470.0,31,124.657974
-405.0,96,124.734865
-470.0,31,124.761769
-470.0,31,124.786688
-405.0,96,124.865337
-405.0,96,124.946118
-405.0,96,125.023241
-405.0,96,125.097873
-405.0,96,125.187847
-405.0,96,125.274255
-470.0,31,125.300154
-405.0,96,125.381811
-470.0,31,125.407997
-405.0,96,125.49142
-405.0,96,125.579347
-405.0,96,125.657437
-405.0,96,125.73409
-470.0,31,125.762747
-401.0,100,128.390458
-470.0,31,128.42078
-405.0,96,128.509694
-470.0,31,128.537028
-405.0,96,128.627337
-405.0,96,128.718123
-405.0,96,128.803815
-405.0,96,128.892493
-405.0,96,128.971238
-470.0,31,128.994944
-405.0,96,129.079309
-405.0,96,129.162409
-405.0,96,129.246649
-405.0,96,129.339895
-405.0,96,129.425982
-405.0,96,129.508978
-405.0,96,129.592878
-470.0,31,129.617463
-404.0,97,129.706467
-405.0,96,129.79966
-404.0,97,129.898575
-405.0,96,129.988549
-405.0,96,130.082874
-470.0,31,130.111985
-405.0,96,130.216428
-405.0,96,133.353159
-405.0,96,133.441601
-405.0,96,133.556619
-405.0,96,133.653651
-405.0,96,133.744363
-405.0,96,133.833187
-405.0,96,133.933396
-405.0,96,134.038351
-405.0,96,134.135965
-405.0,96,134.234069
-470.0,31,134.265551
-405.0,96,134.363819
-405.0,96,134.462392
-470.0,31,134.491294
-470.0,31,134.524863
-405.0,96,134.640996
-470.0,31,134.716711
-405.0,96,134.831065
-470.0,31,134.867097
-405.0,96,134.965478
-405.0,96,135.066514
-405.0,96,135.154137
-470.0,31,135.181412
-405.0,96,135.286244
-405.0,96,135.39418
-405.0,96,137.971189
-405.0,96,138.088928
-470.0,31,138.113278
-405.0,96,138.188729
-470.0,31,138.211852
-470.0,31,138.235764
-405.0,96,138.312134
-405.0,96,138.395007
-470.0,31,138.418271
-405.0,96,138.501972
-470.0,31,138.526408
-470.0,31,138.551837
-405.0,96,138.634909
-470.0,31,138.664639
-470.0,31,138.692143
-405.0,96,138.770324
-470.0,31,138.799815
-405.0,96,138.883814
-405.0,96,138.97437
-402.0,99,139.065174
-470.0,31,139.093487
-470.0,31,139.122873
-470.0,31,139.152652
-405.0,96,139.237163
-470.0,31,139.262465
-405.0,96,139.341861
-405.0,96,139.42497
-405.0,96,139.525856
-405.0,96,139.624806
-405.0,96,139.711822
-470.0,31,139.742621
-470.0,31,142.161221
-405.0,96,142.247756
-470.0,31,142.276469
-470.0,31,142.303595
-470.0,31,142.329741
-470.0,31,142.354085
-470.0,31,142.413696
-405.0,96,142.494364
-470.0,31,142.522658
-405.0,96,142.607061
-405.0,96,142.689676
-470.0,31,142.715749
-470.0,31,142.742193
-470.0,31,142.767557
-470.0,31,142.79331
-470.0,31,142.818109
-405.0,96,142.893678
-405.0,96,142.970451
-405.0,96,143.051493
-405.0,96,143.127405
-470.0,31,143.150474
-405.0,96,143.250129
-405.0,96,143.342109
-470.0,31,143.368199
-470.0,31,143.394382
-405.0,96,143.483025
-470.0,31,143.51139
-405.0,96,143.589873
-470.0,31,143.625978
-470.0,31,143.657128
-470.0,31,143.688722
-405.0,96,143.779238
-470.0,31,143.804103
-397.0,104,143.896728
-470.0,31,143.924585
-470.0,31,143.951792
-470.0,31,143.981146
