#{"t_start": 1761572684.9968417, "env_id": "None"}
r,l,t
-92.9,72,53.798749
-97.0,31,53.832274
-97.0,31,53.867284
-97.0,31,53.906202
-90.5,96,54.011532
-97.0,31,54.049091
-97.0,31,54.086997
-97.0,31,54.121341
-92.3,78,54.203958
-92.0,81,54.287146
-97.0,31,54.322044
-92.1,80,54.403896
-97.0,31,54.434907
-97.0,31,54.466788
-97.0,31,54.498738
-97.0,31,54.535913
-97.0,31,54.572058
-92.5,76,54.656271
-92.6,75,54.734397
-91.1,90,54.848238
-92.9,72,54.936087
-91.1,90,55.043666
-90.5,96,55.137609
-90.6,95,55.239234
-97.0,31,55.271155
-92.4,77,55.365399
-97.0,31,55.403001
-92.9,72,55.48231
-97.0,31,55.513751
-94.5,56,55.570421
-93.1,70,55.633995
-91.1,90,55.729722
-97.0,31,55.763905
-93.4,67,55.832582
-97.0,31,55.871099
-97.0,31,55.908609
-97.0,31,55.947142
-92.4,77,56.032712
-90.7,94,56.151616
-90.5,96,56.260753
-90.5,96,56.371863
-97.0,31,56.420931
-90.5,96,56.54687
-91.6,85,56.648969
-97.0,31,56.688348
-92.6,75,56.785839
-92.8,73,56.866938
-92.6,75,56.956945
-93.1,70,57.039653
-97.0,31,57.080559
-93.3,68,57.169236
-93.1,70,57.25648
-92.7,74,57.336275
-97.0,31,57.369109
-91.6,85,57.456508
-97.0,31,57.486859
-97.0,31,57.518991
-97.0,31,57.547923
-97.0,31,57.583768
-93.1,70,57.66662
-97.0,31,57.701402
-97.0,31,57.731531
-97.0,31,57.76632
-97.0,31,57.800436
-93.6,65,57.863887
-90.8,93,57.966187
-97.0,31,58.003311
-90.5,96,58.124562
-97.0,31,58.168492
-90.5,96,58.27876
-97.0,31,58.310844
-89.6,105,58.418068
-93.3,68,58.489521
-93.7,64,58.560737
-93.2,69,58.63673
-90.5,96,58.756252
-93.9,62,58.819839
-97.0,31,58.850946
-97.0,31,58.890235
-97.0,31,58.923585
-90.5,96,59.017471
-94.0,61,59.168709
-97.0,31,59.201379
-97.0,31,59.232495
-97.0,31,59.268384
-90.5,96,59.376905
-93.3,68,59.447935
-90.5,96,59.548911
-97.0,31,59.582693
-97.0,31,59.614001
-91.6,85,59.71958
-90.1,100,59.837032
-93.1,70,59.918328
-97.0,31,59.955303
-97.0,31,60.032297
-97.0,31,60.068102
-90.5,96,60.179306
-97.0,31,60.21291
-92.7,74,60.296456
-97.0,31,60.333814
-90.5,96,60.471119
-90.5,96,60.58305
-93.8,63,60.647823
-93.1,70,60.732155
-92.5,76,60.816398
-97.0,31,60.852865
-97.0,31,60.881212
-97.0,31,60.913672
-97.0,31,60.944481
-90.5,96,61.085892
-93.9,62,61.154233
-97.0,31,61.187555
-97.0,31,61.220875
-90.5,96,61.321988
-97.0,31,61.354305
-92.3,78,61.441127
-92.9,72,61.514305
-97.0,31,61.546086
-90.5,96,61.635296
-93.9,62,61.69794
-90.5,96,61.810758
-93.2,69,61.886167
-97.0,31,61.917373
-92.9,72,61.999699
-93.0,71,62.080608
-91.9,82,62.188869
-93.0,71,62.313683
-97.0,31,62.356654
-94.0,61,62.423877
-91.5,86,62.56356
-93.8,63,62.664339
-97.0,31,62.702981
-97.0,31,62.742682
-90.5,96,62.856325
-97.0,31,62.893912
-97.0,31,62.932754
-97.0,31,62.961337
-90.5,96,63.06271
-90.5,96,63.221017
-97.0,31,63.252651
-97.0,31,63.283551
-90.5,96,63.373755
-93.8,63,63.439545
-93.1,70,63.510086
-92.9,72,63.58167
-93.4,67,63.649476
-97.0,31,63.689295
-93.6,65,63.762277
-97.0,31,63.789768
-97.0,31,63.816867
-97.0,31,63.850121
-97.0,31,63.878882
-93.7,64,63.940448
-90.9,92,64.044617
-93.1,70,64.121079
-97.0,31,64.154344
-90.9,92,64.250383
-90.5,96,64.345541
