#{"t_start": 1761576449.4221244, "env_id": "None"}
r,l,t
-470.0,31,53.305984
-470.0,31,53.332307
-470.0,31,53.355726
-470.0,31,53.376535
-470.0,31,53.402291
-405.0,96,53.467448
-470.0,31,53.48739
-405.0,96,53.572522
-404.0,97,53.637024
-470.0,31,53.665062
-470.0,31,53.686213
-470.0,31,53.706897
-405.0,96,53.781458
-470.0,31,53.816194
-402.0,99,53.919103
-405.0,96,54.003418
-405.0,96,54.506227
-405.0,96,54.582263
-470.0,31,54.608494
-403.0,98,54.687141
-405.0,96,54.769014
-405.0,96,54.836212
-405.0,96,54.909595
-405.0,96,54.983723
-405.0,96,55.055071
-405.0,96,55.120326
-405.0,96,55.181949
-405.0,96,55.595612
-402.0,99,55.664029
-405.0,96,55.734444
-405.0,96,55.804316
-405.0,96,55.86576
-405.0,96,55.953932
-405.0,96,56.042479
-405.0,96,56.125606
-405.0,96,56.200462
-470.0,31,56.223611
-431.0,70,56.279333
-405.0,96,56.685923
-470.0,31,56.706953
-470.0,31,56.727934
-430.0,71,56.783365
-470.0,31,56.804845
-470.0,31,56.828804
-470.0,31,56.851784
-470.0,31,56.874602
-470.0,31,56.896743
-470.0,31,56.917996
-470.0,31,56.937193
-470.0,31,56.95694
-470.0,31,56.977655
-470.0,31,57.014092
-470.0,31,57.034559
-470.0,31,57.063615
-470.0,31,57.083586
-470.0,31,57.104614
-470.0,31,57.133741
-470.0,31,57.154302
-470.0,31,57.172998
-470.0,31,57.192638
-470.0,31,57.211828
-470.0,31,57.23136
-470.0,31,57.254318
-470.0,31,57.279621
-470.0,31,57.300799
-470.0,31,57.319879
-470.0,31,57.338041
-470.0,31,57.361584
-470.0,31,57.382558
-470.0,31,57.402487
-211.0,191,57.940293
-387.0,114,58.017401
-431.0,70,58.073844
-405.0,96,58.14141
-405.0,96,58.208591
-404.0,97,58.273026
-405.0,96,58.375731
-470.0,31,58.402465
-216.0,186,58.546086
-405.0,96,58.998652
-387.0,114,59.097867
-405.0,96,59.186958
-405.0,96,59.254145
-405.0,96,59.325471
-405.0,96,59.390717
-405.0,96,59.45551
-405.0,96,59.534409
-405.0,96,59.60488
-430.0,71,59.663293
-405.0,96,59.731998
-405.0,96,60.197784
-470.0,31,60.217517
-405.0,96,60.285912
-405.0,96,60.35655
-470.0,31,60.38266
-405.0,96,60.446448
-400.0,101,60.518936
-470.0,31,60.538668
-405.0,96,60.609707
-470.0,31,60.629657
-402.0,99,60.700376
-401.0,100,60.779985
-470.0,31,60.806268
-470.0,31,60.829461
-470.0,31,60.851573
-470.0,31,60.876153
-405.0,96,61.355761
-470.0,31,61.380862
-470.0,31,61.405137
-470.0,31,61.430347
-470.0,31,61.451692
-470.0,31,61.471211
-470.0,31,61.497046
-470.0,31,61.524411
-470.0,31,61.553818
-394.0,107,61.623139
-470.0,31,61.642062
-470.0,31,61.668709
-470.0,31,61.695532
-470.0,31,61.718081
-470.0,31,61.737963
-470.0,31,61.756562
-470.0,31,61.780192
-470.0,31,61.809668
-470.0,31,61.831702
-470.0,31,61.850637
-470.0,31,61.873719
-470.0,31,61.899065
-470.0,31,61.918136
-470.0,31,61.946269
-470.0,31,61.971273
-470.0,31,61.997253
-470.0,31,62.019316
-470.0,31,62.044808
-470.0,31,62.068097
-405.0,96,62.586067
-405.0,96,62.655334
-470.0,31,62.673918
-397.0,104,62.748439
-401.0,100,62.821489
-405.0,96,62.905846
-470.0,31,62.935347
-405.0,96,63.007669
-398.0,103,63.085224
-470.0,31,63.106029
-401.0,100,63.188621
-405.0,96,63.26083
-405.0,96,63.826973
-470.0,31,63.849165
-470.0,31,63.870027
-470.0,31,63.89232
-470.0,31,63.916523
-470.0,31,63.940265
-470.0,31,63.966718
-470.0,31,63.98848
-470.0,31,64.014215
-470.0,31,64.038421
-470.0,31,64.062042
-470.0,31,64.083126
-470.0,31,64.102855
-470.0,31,64.122699
-470.0,31,64.149563
-470.0,31,64.1721
-470.0,31,64.192959
-470.0,31,64.213196
-470.0,31,64.231587
-470.0,31,64.251382
-470.0,31,64.272783
-470.0,31,64.291665
-470.0,31,64.316029
-470.0,31,64.335585
-470.0,31,64.355906
-470.0,31,64.3768
-470.0,31,64.396894
-470.0,31,64.416985
-470.0,31,64.434986
-470.0,31,64.452489
-470.0,31,64.474576
-470.0,31,64.496082
-470.0,31,64.876603
-470.0,31,64.898602
-470.0,31,64.921827
-470.0,31,64.954072
-470.0,31,64.974117
-470.0,31,64.997277
-470.0,31,65.0169
-470.0,31,65.038004
-470.0,31,65.062273
-470.0,31,65.083412
-470.0,31,65.104173
-470.0,31,65.125721
-470.0,31,65.14717
-470.0,31,65.168918
-470.0,31,65.189364
-470.0,31,65.208243
-470.0,31,65.23368
-470.0,31,65.261268
-470.0,31,65.288729
-470.0,31,65.316531
-470.0,31,65.342091
-470.0,31,65.367423
-470.0,31,65.388815
-470.0,31,65.410573
-470.0,31,65.429946
-470.0,31,65.452017
-470.0,31,65.473575
-470.0,31,65.495389
-470.0,31,65.513798
-470.0,31,65.579076
-470.0,31,65.601785
-470.0,31,65.621736
-470.0,31,65.641506
-470.0,31,66.109176
-470.0,31,66.130145
-470.0,31,66.151656
-470.0,31,66.176586
-470.0,31,66.206898
-470.0,31,66.228563
-470.0,31,66.248283
-470.0,31,66.266676
-470.0,31,66.28482
-470.0,31,66.302778
-470.0,31,66.320492
-470.0,31,66.33976
-470.0,31,66.357723
-470.0,31,66.379542
-470.0,31,66.40021
-470.0,31,66.422113
-470.0,31,66.440295
-470.0,31,66.458851
-470.0,31,66.477673
-470.0,31,66.495239
-470.0,31,66.513141
-470.0,31,66.531497
-470.0,31,66.550371
-470.0,31,66.568869
-470.0,31,66.589656
-470.0,31,66.606526
-470.0,31,66.624465
-470.0,31,66.643524
-470.0,31,66.661748
-470.0,31,66.679709
-470.0,31,66.704286
-470.0,31,66.724873
-470.0,31,66.744658
-470.0,31,66.765019
-470.0,31,67.107841
-470.0,31,67.124878
-470.0,31,67.141957
-470.0,31,67.161324
-470.0,31,67.178577
-470.0,31,67.197679
-470.0,31,67.215658
-470.0,31,67.234874
-470.0,31,67.258242
-470.0,31,67.27519
-470.0,31,67.292999
-470.0,31,67.311902
-470.0,31,67.330806
-470.0,31,67.348683
-470.0,31,67.366713
-470.0,31,67.413304
-470.0,31,67.431802
-470.0,31,67.453531
-470.0,31,67.470562
-470.0,31,67.491486
-470.0,31,67.520532
-470.0,31,67.539592
-470.0,31,67.561546
-470.0,31,67.581962
-470.0,31,67.604516
-470.0,31,67.627995
-470.0,31,67.651416
-470.0,31,67.672802
-470.0,31,67.692176
-470.0,31,67.712583
-470.0,31,67.73511
-470.0,31,67.754292
-470.0,31,67.772189
-470.0,31,68.122344
-470.0,31,68.146261
-470.0,31,68.167233
-470.0,31,68.189078
-470.0,31,68.21249
-470.0,31,68.236678
-470.0,31,68.257006
-470.0,31,68.278543
-470.0,31,68.297468
-470.0,31,68.317564
-470.0,31,68.340694
-470.0,31,68.360452
-470.0,31,68.379486
-470.0,31,68.40045
-470.0,31,68.424655
-470.0,31,68.442605
-470.0,31,68.461612
-470.0,31,68.479856
-470.0,31,68.498299
-470.0,31,68.520145
-470.0,31,68.538534
-470.0,31,68.557605
-470.0,31,68.576188
-470.0,31,68.594475
-470.0,31,68.613583
-470.0,31,68.634924
-470.0,31,68.655056
-470.0,31,68.67264
-470.0,31,68.690263
-470.0,31,68.708591
-470.0,31,68.732957
-470.0,31,68.752748
-470.0,31,68.771214
-470.0,31,69.080236
-470.0,31,69.096522
-470.0,31,69.113465
-470.0,31,69.133144
-470.0,31,69.151998
-470.0,31,69.173042
-470.0,31,69.190262
-470.0,31,69.208012
-470.0,31,69.22645
-470.0,31,69.245185
-470.0,31,69.263652
-470.0,31,69.284512
-470.0,31,69.30284
-470.0,31,69.321182
-470.0,31,69.340954
-470.0,31,69.359672
-470.0,31,69.3781
-470.0,31,69.396454
-470.0,31,69.414488
-470.0,31,69.435568
-470.0,31,69.453357
-470.0,31,69.469219
-470.0,31,69.484657
-470.0,31,69.500028
-470.0,31,69.516199
-470.0,31,69.532204
-470.0,31,69.548986
-470.0,31,69.564637
-470.0,31,69.580076
-470.0,31,69.59569
-470.0,31,69.611841
-470.0,31,69.627466
-470.0,31,69.643762
-470.0,31,70.045667
-470.0,31,70.069148
-470.0,31,70.087923
-470.0,31,70.106526
-470.0,31,70.128026
-470.0,31,70.149512
-470.0,31,70.170777
-470.0,31,70.190403
-470.0,31,70.210278
-470.0,31,70.230056
-470.0,31,70.252424
-470.0,31,70.273426
-470.0,31,70.29752
-470.0,31,70.316858
-470.0,31,70.336619
-470.0,31,70.358489
-470.0,31,70.379933
-470.0,31,70.40049
-470.0,31,70.422716
-470.0,31,70.443615
-470.0,31,70.461633
-470.0,31,70.482263
-470.0,31,70.501682
-470.0,31,70.519259
-470.0,31,70.538946
-470.0,31,70.557151
-470.0,31,70.579918
-470.0,31,70.601437
-470.0,31,70.61993
-470.0,31,70.642326
-470.0,31,70.661511
-470.0,31,70.68099
-470.0,31,70.69996
-470.0,31,70.998706
-470.0,31,71.01469
-470.0,31,71.030792
-470.0,31,71.046736
-470.0,31,71.067544
-470.0,31,71.08378
-470.0,31,71.099535
-470.0,31,71.115157
-470.0,31,71.131253
-470.0,31,71.146807
-470.0,31,71.16289
-470.0,31,71.178662
-470.0,31,71.194957
-470.0,31,71.211875
-470.0,31,71.228209
-470.0,31,71.254399
-470.0,31,71.270896
-470.0,31,71.286367
-470.0,31,71.303431
-470.0,31,71.322197
-470.0,31,71.338804
-470.0,31,71.354865
-470.0,31,71.370613
-470.0,31,71.3864
-470.0,31,71.402539
-470.0,31,71.418695
-470.0,31,71.435085
-470.0,31,71.451225
-470.0,31,71.466557
-470.0,31,71.482494
-470.0,31,71.498325
-470.0,31,71.514471
-470.0,31,71.530147
-470.0,31,71.822016
-470.0,31,71.838764
-470.0,31,71.855427
-470.0,31,71.873461
-470.0,31,71.890309
-470.0,31,71.906657
-470.0,31,71.922312
-470.0,31,71.938206
-470.0,31,71.955038
-470.0,31,71.970456
-470.0,31,71.985974
-470.0,31,72.001181
-470.0,31,72.017497
-470.0,31,72.036328
-470.0,31,72.055394
-470.0,31,72.074549
-470.0,31,72.093017
-470.0,31,72.163599
-470.0,31,72.185035
-470.0,31,72.208638
-470.0,31,72.227922
-470.0,31,72.248715
-470.0,31,72.269423
-470.0,31,72.294459
-470.0,31,72.314993
-470.0,31,72.333865
-470.0,31,72.352657
-470.0,31,72.372426
-470.0,31,72.390086
-470.0,31,72.410459
-470.0,31,72.43087
-470.0,31,72.451952
-470.0,31,72.475952
-470.0,31,72.878274
-470.0,31,72.90083
-470.0,31,72.92115
-470.0,31,72.939853
-470.0,31,72.95829
-470.0,31,72.9772
-470.0,31,72.997852
-470.0,31,73.02357
-470.0,31,73.04264
