#{"t_start": 1761577018.0846298, "env_id": "None"}
r,l,t
-89.9,102,124.979584
-90.0,101,125.218629
-94.2,59,125.378162
-90.5,96,125.592293
-94.2,59,125.716609
-97.0,31,125.790083
-90.5,96,126.001847
-97.0,31,126.079488
-90.5,96,126.316637
-90.5,96,126.526114
-97.0,31,126.604745
-92.4,77,126.769122
-90.4,97,127.022908
-90.5,96,127.235794
-92.9,72,127.395295
-97.0,31,127.461477
-97.0,31,127.52639
-97.0,31,127.585014
-90.5,96,127.791964
-97.0,31,127.85678
-90.5,96,128.061674
-90.2,99,128.246621
-90.5,96,128.439767
-97.0,31,128.501585
-97.0,31,128.55421
-97.0,31,128.618166
-90.3,98,128.808105
-90.5,96,129.004879
-97.0,31,129.06492
-97.0,31,129.129574
-93.0,71,129.273958
-71.1,191,129.733575
-90.5,96,129.923623
-90.5,96,130.147142
-90.5,96,130.37282
-97.0,31,130.438945
-97.0,31,130.507827
-90.5,96,130.708429
-90.5,96,130.909329
-97.0,31,130.982449
-97.0,31,131.054158
-97.0,31,131.117846
-91.3,88,131.303652
-90.5,96,131.509595
-97.0,31,131.570344
-90.5,96,131.78444
-77.8,124,132.059024
-90.5,96,132.273448
-90.5,96,132.492138
-90.5,96,132.714327
-90.5,96,132.908049
-90.5,96,133.12482
-97.0,31,133.196249
-90.5,96,133.41364
-97.0,31,133.481339
-90.1,100,133.691664
-90.5,96,133.940404
-90.5,96,134.20715
-97.0,31,134.27162
-90.5,96,134.51758
-90.5,96,134.723367
-90.5,96,134.938061
-97.0,31,135.013698
-90.5,96,135.211401
-90.1,100,135.418126
-90.2,99,135.654285
-90.4,97,135.879656
-90.5,96,136.102007
-97.0,31,136.162039
-97.0,31,136.228621
-97.0,31,136.289563
-90.5,96,136.494642
-97.0,31,136.557361
-92.2,79,136.740349
-90.5,96,136.967979
-93.8,63,137.108792
-90.5,96,137.314136
-90.5,96,137.525095
-90.5,96,137.739364
-97.0,31,137.799186
-90.5,96,137.977279
-92.2,79,138.117821
-90.5,96,138.275105
-91.8,83,138.427135
-90.5,96,138.637744
-90.5,96,138.82281
-97.0,31,138.886547
-97.0,31,138.939042
-97.0,31,139.002801
-90.5,96,139.213838
-90.5,96,139.400568
-90.5,96,139.587794
-97.0,31,139.654836
-97.0,31,139.713416
-90.5,96,140.055843
-90.5,96,140.205614
-97.0,31,140.250482
-90.5,96,140.412421
-90.5,96,140.58193
-90.5,96,140.748182
-90.5,96,140.908701
-90.5,96,141.088146
-97.0,31,141.162186
-97.0,31,141.238994
-90.5,96,141.443809
-77.8,124,141.706091
-97.0,31,141.773181
-97.0,31,141.832448
-90.5,96,142.031773
-90.5,96,142.23728
-94.4,57,142.349329
-90.5,96,142.571516
-90.5,96,142.819478
-90.5,96,142.987047
-97.0,31,143.042985
-97.0,31,143.105258
-91.0,91,143.343595
-90.5,96,143.540161
-97.0,31,143.614117
-97.0,31,143.677744
-90.5,96,143.882677
-97.0,31,143.959822
-90.5,96,144.175014
-93.2,69,144.346261
-92.9,72,144.51734
-97.0,31,144.583756
-90.5,96,144.79309
-90.5,96,145.011731
-90.5,96,145.215339
-90.5,96,145.398252
-90.5,96,145.597981
-97.0,31,145.663912
-90.2,99,145.876484
-90.5,96,146.064334
-94.4,57,146.171315
-88.0,121,146.451274
-89.7,104,146.666462
-90.5,96,146.888095
-90.5,96,147.088279
-89.8,103,147.382948
-97.0,31,147.447579
-97.0,31,147.512635
-89.2,109,147.757063
-92.6,75,147.926002
-90.3,98,148.140216
-90.5,96,148.348443
-90.5,96,148.594663
-90.3,98,148.837762
-97.0,31,148.908951
-90.5,96,149.11623
-90.5,96,149.329128
-94.3,58,149.458056
-90.5,96,149.66467
-90.5,96,149.880241
-97.0,31,149.947009
-90.5,96,150.149528
-88.7,114,150.40001
-97.0,31,150.479107
-90.0,101,150.690859
-90.5,96,150.895618
-97.0,31,150.966476
-89.4,107,151.278338
-97.0,31,151.359039
-90.5,96,151.586453
-94.5,56,151.756422
-97.0,31,151.825258
-97.0,31,151.903624
-90.5,96,152.123564
-90.5,96,152.37589
-93.5,66,152.556033
-90.5,96,152.841056
-90.5,96,153.117128
-97.0,31,153.209656
-97.0,31,153.298491
-90.5,96,153.538146
-90.5,96,153.791996
-90.5,96,154.012678
-97.0,31,154.075253
-90.5,96,154.343859
-90.5,96,154.662701
-90.5,96,155.009379
-90.5,96,155.236762
-90.5,96,155.48938
-90.5,96,155.755175
-90.5,96,155.99508
-91.3,88,156.207685
-90.5,96,156.421639
-92.7,74,156.640884
-90.5,96,156.925708
-97.0,31,157.0735
-90.5,96,157.462071
-90.6,95,157.682553
-90.5,96,157.903363
-90.5,96,158.173572
-90.5,96,158.423812
-90.3,98,158.654462
-90.5,96,158.88312
-95.5,46,158.990208
-90.5,96,159.222632
-97.0,31,159.300308
-90.5,96,159.534441
-90.5,96,159.796503
-90.5,96,160.063169
-97.0,31,160.152631
-90.5,96,160.421945
-97.0,31,160.491651
-90.5,96,160.70112
-90.5,96,160.941883
-92.7,74,161.105885
-97.0,31,161.185676
-90.5,96,161.406147
-90.5,96,161.612271
-94.2,59,161.77103
-97.0,31,161.837931
-89.5,106,162.147287
-90.5,96,162.368716
-97.0,31,162.432893
-89.9,102,162.652811
-97.0,31,162.726943
-88.6,115,162.986745
-97.0,31,163.047628
-90.5,96,163.26015
-94.1,60,163.377985
-90.5,96,163.70002
-90.5,96,163.91044
-90.5,96,164.127019
-90.5,96,164.382856
-97.0,31,164.445545
-97.0,31,164.51398
-90.5,96,164.767021
-90.5,96,164.994792
-90.5,96,165.242676
-90.5,96,165.47143
-97.0,31,165.547606
-90.5,96,165.780153
-90.5,96,166.047228
-90.5,96,166.253067
-90.5,96,166.473771
-94.7,54,166.592372
-97.0,31,166.658498
-90.5,96,166.866354
-90.5,96,167.078196
-90.5,96,167.299138
-90.5,96,167.498826
-97.0,31,167.566083
-90.5,96,167.7778
-95.2,49,167.881321
-89.2,109,168.164259
-90.5,96,168.377021
-90.8,93,168.61326
-90.5,96,168.830111
-90.5,96,169.046222
-90.5,96,169.264081
-97.0,31,169.32871
-97.0,31,169.39062
-90.5,96,169.595873
-90.5,96,169.845234
-89.6,105,170.075456
-90.5,96,170.289193
-92.7,74,170.453845
-90.5,96,170.647123
-97.0,31,170.703757
-90.5,96,170.895451
-97.0,31,170.977701
-89.9,102,171.249768
-90.5,96,171.437273
-90.5,96,171.629848
-97.0,31,171.683543
-90.4,97,171.897163
-90.5,96,172.11438
-94.1,60,172.240487
-90.5,96,172.489958
-89.3,108,172.733664
-90.5,96,172.985457
-97.0,31,173.051454
-90.5,96,173.257994
-90.5,96,173.485892
-90.5,96,173.719045
-97.0,31,173.781298
-94.1,60,173.912273
-97.0,31,173.981142
-90.5,96,174.181879
-90.5,96,174.373164
-97.0,31,174.433482
-90.5,96,174.627034
-97.0,31,174.679848
-90.5,96,174.868955
-90.5,96,175.067696
-97.0,31,175.128495
-90.5,96,175.375613
-90.5,96,175.576607
-92.8,73,175.751696
-90.5,96,175.958935
-90.5,96,176.178514
-90.5,96,176.421133
-90.5,96,176.620016
-93.0,71,176.762457
-90.5,96,176.959605
-89.9,102,177.198045
-97.0,31,177.254606
-97.0,31,177.317269
-97.0,31,177.370656
-97.0,31,177.466665
-90.3,98,177.672907
-90.5,96,177.873586
-97.0,31,177.947015
-90.5,96,178.136668
-90.5,96,178.322475
