#{"t_start": 1761573077.6086333, "env_id": "None"}
r,l,t
-90.5,96,62.055334
-90.5,96,62.191034
-90.5,96,62.328156
-97.0,31,62.387918
-90.5,96,62.587392
-90.5,96,62.723358
-90.5,96,62.879765
-90.5,96,63.015445
-90.5,96,63.163407
-90.5,96,63.33319
-90.5,96,64.655108
-90.5,96,64.792232
-90.5,96,64.935915
-90.5,96,65.073558
-90.5,96,65.208429
-90.5,96,65.340392
-90.5,96,65.485803
-90.5,96,65.674896
-90.5,96,65.871607
-93.0,71,65.975342
-90.5,96,66.13756
-90.5,96,66.27524
-90.5,96,66.411183
-90.5,96,66.583941
-90.5,96,66.70858
-97.0,31,66.749034
-90.5,96,66.884223
-90.6,95,67.020982
-90.5,96,67.14003
-90.5,96,67.285828
-90.5,96,67.423759
-90.5,96,67.57482
-90.5,96,67.727265
-90.5,96,69.274963
-90.5,96,69.441658
-90.5,96,69.606951
-90.5,96,69.751511
-90.5,96,69.893799
-90.5,96,70.064608
-90.5,96,70.209406
-90.5,96,70.380946
-90.5,96,70.532857
-90.5,96,70.674364
-90.5,96,70.822301
-90.5,96,71.391911
-90.5,96,71.511271
-90.5,96,71.631853
-90.5,96,71.760109
-90.5,96,71.896423
-90.5,96,72.026302
-90.5,96,72.137449
-90.5,96,72.247587
-90.5,96,72.367656
-90.5,96,72.481509
-90.5,96,73.859748
-90.5,96,73.997981
-90.5,96,74.128227
-90.5,96,74.247329
-90.5,96,74.371258
-90.5,96,74.490129
-90.5,96,74.602691
-90.5,96,74.728447
-90.5,96,74.840894
-90.5,96,74.980516
-90.5,96,75.149959
-90.5,96,75.295762
-90.5,96,75.414051
-90.5,96,75.525442
-90.5,96,75.632735
-90.5,96,75.743751
-90.5,96,75.858925
-90.5,96,75.978778
-90.5,96,76.10081
-90.5,96,76.219886
-90.5,96,76.340089
-90.5,96,77.619695
-90.5,96,77.757181
-90.5,96,77.878057
-90.5,96,78.003912
-90.5,96,78.127889
-91.0,91,78.246325
-90.5,96,78.352774
-90.5,96,78.463748
-90.5,96,78.621304
-90.5,96,78.730538
-90.5,96,78.872359
-90.5,96,78.997645
-90.5,96,79.141277
-90.5,96,79.298155
-90.5,96,79.446382
-90.5,96,79.56573
-90.5,96,79.682275
-91.1,90,79.812013
-90.5,96,79.959387
-90.5,96,80.098616
-90.5,96,80.231116
-90.5,96,80.366195
-90.5,96,81.569298
-90.5,96,81.693807
-90.5,96,81.849622
-90.5,96,81.982006
-90.5,96,82.118137
-90.5,96,82.295304
-90.5,96,82.444742
-90.5,96,82.577264
-90.5,96,82.693191
-90.5,96,82.808553
-90.5,96,82.932941
-90.5,96,83.066013
-90.5,96,83.195661
-90.5,96,83.326042
